"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chris Thompson","WAS","3.5","15.9","0.1","3.4","28.7","0.1","0.1","5.5"
"","high","4.9","21.6","0.1","4.5","35.7","0.2","0.0","7.2"
"","low","2.0","10.0","0.0","1.0","10.0","0.0","0.1","2.0"
"Ito Smith","ATL","6.7","25.1","0.2","1.7","12.5","0.0","0.1","4.9"
"","high","7.7","30.0","0.3","2.4","17.5","0.1","0.1","6.3"
"","low","5.0","20.0","0.0","1.0","8.0","0.0","0.1","3.0"
"Latavius Murray","MIN","7.3","28.1","0.2","1.0","7.3","0.0","0.0","4.6"
"","high","10.5","36.2","0.4","1.5","11.0","0.1","0.0","7.0"
"","low","5.1","21.3","0.0","0.0","0.0","0.0","0.1","2.5"
"Alfred Blue","HOU","7.5","29.5","0.1","0.9","7.9","0.0","0.1","4.5"
"","high","9.3","38.0","0.2","1.4","11.3","0.0","0.0","6.4"
"","low","5.0","20.0","0.0","0.5","4.0","0.0","0.1","3.0"
"Ty Montgomery","BAL","3.6","16.1","0.1","2.4","19.8","0.1","0.1","4.3"
"","high","5.4","23.9","0.2","3.6","32.2","0.1","0.0","5.7"
"","low","1.0","5.0","0.0","1.9","14.5","0.0","0.2","2.9"
"Giovani Bernard","CIN","4.0","16.3","0.1","2.2","18.4","0.0","0.1","4.2"
"","high","5.7","23.2","0.2","2.9","20.7","0.1","0.0","5.0"
"","low","2.8","10.0","0.0","1.7","14.3","0.0","0.2","3.0"
"Damien Williams","KC","5.4","22.4","0.1","1.1","8.9","0.1","0.1","4.1"
"","high","7.0","30.0","0.3","1.8","14.7","0.1","0.0","6.1"
"","low","3.2","14.5","0.0","0.5","4.3","0.0","0.1","2.5"
"Corey Clement","PHI","4.5","18.8","0.1","1.4","12.1","0.0","0.0","3.8"
"","high","5.9","24.5","0.2","2.0","20.0","0.1","0.0","5.2"
"","low","2.7","10.9","0.0","0.8","6.5","0.0","0.1","2.3"
"Rashaad Penny","SEA","6.1","25.2","0.1","0.7","5.7","0.0","0.0","3.8"
"","high","8.2","33.5","0.2","1.1","9.0","0.1","0.0","6.0"
"","low","5.0","20.0","0.0","0.0","0.0","0.0","0.0","2.0"
"Chris Ivory","BUF","5.3","20.3","0.1","1.1","11.5","0.0","0.0","3.7"
"","high","6.6","25.6","0.2","1.4","15.4","0.0","0.0","4.7"
"","low","4.0","15.0","0.0","0.9","10.0","0.0","0.1","2.5"
"Darren Sproles","PHI","2.6","10.6","0.0","1.9","15.7","0.1","0.0","3.3"
"","high","3.9","17.4","0.1","2.9","21.3","0.2","0.0","4.7"
"","low","1.4","5.9","0.0","1.0","10.0","0.0","0.1","2.0"
"Zach Zenner","DET","3.5","14.2","0.1","1.2","9.2","0.1","0.0","3.1"
"","high","4.3","20.6","0.1","1.6","12.0","0.1","0.0","4.4"
"","low","2.7","10.0","0.0","0.8","3.9","0.0","0.1","2.0"
"Malcolm Brown","LAR","3.7","15.8","0.1","0.5","4.5","0.0","0.0","3.0"
"","high","4.6","20.0","0.2","0.9","7.6","0.1","0.0","4.5"
"","low","2.3","11.1","0.0","0.0","0.0","0.0","0.1","1.5"
"Jordan Wilkins","IND","3.7","17.6","0.1","0.8","5.5","0.0","0.2","2.9"
"","high","4.7","26.1","0.2","1.2","8.9","0.1","0.0","3.6"
"","low","3.3","14.6","0.1","0.4","2.9","0.0","0.3","2.7"
"Jeffery Wilson","SF","3.8","17.6","0.1","0.8","5.4","0.0","0.0","2.9"
"","high","6.5","25.8","0.2","1.4","8.8","0.0","0.0","4.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0"
"Jamaal Williams","GB","4.3","17.3","0.1","0.8","5.7","0.0","0.1","2.7"
"","high","6.8","28.0","0.2","1.0","8.0","0.0","0.0","4.6"
"","low","2.9","10.2","0.0","0.5","4.3","0.0","0.1","2.0"
"DeAndre Washington","OAK","3.3","15.1","0.1","0.7","5.2","0.0","0.0","2.5"
"","high","6.4","30.3","0.2","1.2","9.2","0.0","0.0","5.1"
"","low","1.0","4.2","0.0","0.0","0.0","0.0","0.1","1.0"
"Kenneth Dixon","BAL","3.4","14.4","0.1","0.7","4.3","0.0","0.0","2.5"
"","high","4.2","15.2","0.1","1.0","7.0","0.0","0.0","2.6"
"","low","2.8","13.0","0.1","0.4","2.1","0.0","0.0","2.3"
"Ronald Jones II","TB","3.3","12.0","0.1","0.9","7.1","0.0","0.1","2.4"
"","high","3.9","15.0","0.1","1.4","11.3","0.1","0.0","3.8"
"","low","2.0","6.1","0.0","0.3","2.1","0.0","0.1","0.9"
"Rex Burkhead","NE","3.2","11.8","0.1","0.6","5.5","0.0","0.0","2.3"
"","high","4.9","17.9","0.2","1.2","13.0","0.1","0.0","4.9"
"","low","1.7","5.8","0.0","0.0","0.0","0.0","0.1","1.0"
"Kapri Bibbs","WAS","1.5","6.5","0.0","1.3","11.8","0.0","0.0","2.3"
"","high","2.5","10.0","0.1","2.0","20.0","0.1","0.0","3.5"
"","low","0.5","1.9","0.0","0.6","4.1","0.0","0.1","0.8"
"Devontae Booker","DEN","1.7","6.9","0.0","1.4","12.0","0.0","0.0","2.3"
"","high","3.0","10.0","0.1","2.4","20.0","0.1","0.0","3.3"
"","low","1.0","5.2","0.0","0.6","4.6","0.0","0.1","1.5"
"Kyle Juszczyk","SF","0.4","1.8","0.0","1.8","17.7","0.1","0.1","2.3"
"","high","0.7","3.1","0.0","2.5","24.7","0.1","0.0","3.3"
"","low","0.0","0.0","0.0","1.0","10.0","0.0","0.1","1.0"
"Jacquizz Rodgers","TB","2.1","8.3","0.1","1.4","12.3","0.0","0.1","2.3"
"","high","3.2","10.5","0.1","2.1","20.0","0.1","0.0","3.2"
"","low","1.7","6.1","0.0","0.7","5.2","0.0","0.2","1.5"
"Alfred Morris","SF","3.4","13.7","0.1","0.7","5.1","0.0","0.1","2.3"
"","high","5.7","24.2","0.1","0.8","6.4","0.0","0.0","3.7"
"","low","1.9","5.9","0.0","0.6","3.8","0.0","0.1","1.2"
"Wayne Gallman","NYG","2.8","10.5","0.1","1.1","7.3","0.0","0.1","2.0"
"","high","4.0","14.0","0.1","1.3","8.7","0.0","0.0","2.3"
"","low","2.1","8.3","0.0","0.8","4.2","0.0","0.2","2.2"
"Chase Edmonds","ARI","3.4","11.7","0.0","0.9","5.7","0.0","0.1","1.9"
"","high","5.0","17.3","0.1","1.4","11.0","0.0","0.0","2.5"
"","low","2.6","9.8","0.0","0.4","2.0","0.0","0.1","1.5"
"Taquan Mizzell","CHI","1.2","4.8","0.1","0.6","4.6","0.0","0.0","1.5"
"","high","1.7","6.8","0.1","1.2","9.7","0.1","0.0","2.8"
"","low","0.3","0.7","0.0","0.1","1.0","0.0","0.1","0.2"
"Jaylen Samuels","PIT","1.5","5.9","0.1","0.5","4.2","0.0","0.0","1.3"
"","high","2.1","8.2","0.1","0.6","6.5","0.0","0.0","1.8"
"","low","0.9","2.6","0.0","0.4","3.0","0.0","0.1","1.1"
"Marcus Murphy","BUF","1.4","6.6","0.0","0.8","6.0","0.0","0.0","1.3"
"","high","2.3","10.0","0.0","1.6","13.0","0.0","0.0","2.8"
"","low","0.8","3.4","0.0","0.2","0.4","0.0","0.0","0.5"
"Wendell Smallwood","PHI","1.4","6.0","0.0","0.5","4.9","0.0","0.0","1.3"
"","high","2.6","11.1","0.1","1.1","10.2","0.0","0.0","2.7"
"","low","0.7","2.9","0.0","0.2","2.2","0.0","0.0","0.5"
"Trenton Cannon","NYJ","1.2","4.3","0.0","1.1","8.5","0.0","0.0","1.3"
"","high","1.6","6.0","0.0","1.4","11.0","0.0","0.0","1.9"
"","low","0.7","2.8","0.0","0.7","4.7","0.0","0.1","1.0"
"Rod Smith","DAL","1.7","6.9","0.0","0.4","2.8","0.0","0.0","1.2"
"","high","3.0","12.9","0.1","0.7","5.9","0.0","0.0","2.2"
"","low","1.0","3.2","0.0","0.0","0.0","0.0","0.1","0.4"
"Cameron Artis-Payne","CAR","1.8","7.0","0.1","0.2","1.2","0.0","0.1","1.1"
"","high","2.9","11.8","0.1","0.5","3.5","0.0","0.0","2.1"
"","low","0.8","2.0","0.0","0.0","0.0","0.0","0.1","0.2"
"Anthony Sherman","KC","0.2","0.5","0.0","0.6","6.6","0.1","0.0","1.1"
"","high","0.3","1.1","0.0","1.1","14.2","0.2","0.0","2.7"
"","low","0.0","0.0","0.0","0.2","1.4","0.0","0.0","0.4"
"Cordarrelle Patterson","NE","1.1","4.9","0.0","0.5","4.8","0.0","0.0","1.0"
"","high","1.1","4.9","0.0","0.5","4.8","0.0","0.0","1.0"
"","low","1.1","4.9","0.0","0.5","4.8","0.0","0.0","1.0"
"Javorius Allen","BAL","1.0","4.0","0.0","0.6","4.0","0.0","0.0","0.9"
"","high","1.4","5.5","0.1","1.2","8.0","0.0","0.0","1.5"
"","low","0.6","2.3","0.0","0.2","1.0","0.0","0.0","0.3"
"Justin Davis","LAR","0.7","2.8","0.0","0.3","2.7","0.0","0.0","0.8"
"","high","0.7","2.8","0.0","0.3","2.7","0.0","0.0","0.8"
"","low","0.7","2.8","0.0","0.3","2.7","0.0","0.0","0.8"
"Stevan Ridley","PIT","0.8","3.6","0.0","0.3","1.9","0.0","0.0","0.7"
"","high","1.8","8.0","0.1","1.0","5.0","0.0","0.0","1.3"
"","low","0.3","0.6","0.0","0.0","0.2","0.0","0.0","0.2"
"Darrel Williams","KC","0.9","3.6","0.0","0.2","1.4","0.0","0.0","0.6"
"","high","1.4","6.0","0.1","0.3","2.1","0.0","0.0","1.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0"
"Detrez Newsome","LAC","0.9","3.6","0.0","0.3","2.2","0.0","0.0","0.6"
"","high","1.8","7.0","0.0","0.5","4.0","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andy Janovich","DEN","0.2","1.1","0.0","0.4","3.6","0.0","0.0","0.6"
"","high","0.4","2.9","0.0","0.5","4.7","0.1","0.0","1.3"
"","low","0.0","0.0","0.0","0.1","1.9","0.0","0.0","0.2"
"Kalen Ballage","MIA","0.6","2.1","0.0","0.5","3.5","0.0","0.0","0.6"
"","high","1.1","3.1","0.0","0.9","7.0","0.0","0.0","1.2"
"","low","0.2","0.4","0.0","0.0","0.1","0.0","0.0","0.1"
"D'Onta Foreman","HOU","0.5","2.0","0.0","0.3","2.3","0.0","0.0","0.5"
"","high","0.5","2.0","0.0","0.3","2.3","0.0","0.0","0.5"
"","low","0.5","2.0","0.0","0.3","2.3","0.0","0.0","0.5"
"J.D. McKissic","SEA","0.6","2.1","0.0","0.3","2.8","0.0","0.0","0.5"
"","high","0.9","3.0","0.0","0.4","4.0","0.0","0.0","1.0"
"","low","0.3","1.2","0.0","0.2","1.5","0.0","0.0","0.4"
"Ameer Abdullah","MIN","0.5","1.6","0.0","0.5","3.6","0.0","0.0","0.5"
"","high","0.9","3.2","0.0","1.0","7.7","0.0","0.0","0.9"
"","low","0.1","0.1","0.0","0.2","1.6","0.0","0.0","0.2"
"Robert Kelley","WAS","1.2","4.8","0.0","0.0","0.3","0.0","0.0","0.5"
"","high","1.2","4.8","0.0","0.0","0.3","0.0","0.0","0.5"
"","low","1.2","4.8","0.0","0.0","0.3","0.0","0.0","0.5"
"James Develin","NE","0.2","0.6","0.0","0.4","2.3","0.0","0.0","0.5"
"","high","0.3","1.4","0.1","0.8","3.8","0.0","0.0","1.0"
"","low","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.2"
"Gregory Howell","HOU","0.3","1.4","0.0","0.2","1.7","0.0","0.0","0.4"
"","high","0.7","2.8","0.0","0.4","3.4","0.0","0.0","0.8"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CJ Ham","MIN","0.2","0.8","0.0","0.4","3.2","0.0","0.0","0.4"
"","high","0.4","2.0","0.0","0.8","6.0","0.0","0.0","0.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Armah","CAR","0.7","2.5","0.0","0.0","0.2","0.0","0.0","0.4"
"","high","1.6","6.5","0.1","0.1","0.6","0.0","0.0","1.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0"
"David Williams","JAC","0.8","3.1","0.0","0.1","0.8","0.0","0.0","0.4"
"","high","1.6","7.0","0.0","0.3","2.0","0.0","0.0","1.2"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Patrick DiMarco","BUF","0.4","0.9","0.0","0.3","2.3","0.0","0.0","0.4"
"","high","0.7","1.8","0.0","0.4","3.3","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.1","1.3","0.0","0.0","0.1"
"Matthew Dayes","SF","0.5","2.1","0.0","0.1","1.0","0.0","0.0","0.4"
"","high","1.0","4.0","0.0","0.3","2.5","0.0","0.0","0.5"
"","low","0.1","0.3","0.0","0.0","0.0","0.0","0.0","0.1"
"Elijhaa Penny","NYG","0.2","0.7","0.0","0.3","2.3","0.0","0.0","0.3"
"","high","0.3","1.1","0.0","0.7","5.0","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.2","0.8","0.0","0.0","0.2"
"De'Lance Turner","BAL","0.3","1.1","0.0","0.1","1.1","0.0","0.0","0.3"
"","high","0.5","2.2","0.0","0.2","2.2","0.0","0.0","0.6"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Roosevelt Nix","PIT","0.0","0.0","0.0","0.3","2.9","0.0","0.0","0.3"
"","high","0.0","0.1","0.0","0.4","4.9","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.1","1.1","0.0","0.0","0.1"
"Keith Smith","OAK","0.2","0.4","0.0","0.3","2.7","0.0","0.0","0.3"
"","high","0.3","0.9","0.0","0.6","4.7","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.1","0.8","0.0","0.0","0.1"
"Tommy Bohanon","JAC","0.1","0.1","0.0","0.4","2.9","0.0","0.0","0.3"
"","high","0.2","0.5","0.0","0.8","6.5","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zach Line","NO","0.1","0.5","0.0","0.3","2.2","0.0","0.0","0.3"
"","high","0.3","1.4","0.0","0.5","4.1","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.1","0.4","0.0","0.0","0.1"
"Mark Walton","CIN","0.7","1.6","0.0","0.1","0.9","0.0","0.0","0.3"
"","high","0.9","2.3","0.0","0.3","1.5","0.0","0.0","0.4"
"","low","0.4","0.9","0.0","0.0","0.3","0.0","0.0","0.1"
"Byron Marshall","WAS","0.5","1.8","0.0","0.2","1.0","0.0","0.0","0.3"
"","high","0.5","1.8","0.0","0.2","1.0","0.0","0.0","0.3"
"","low","0.5","1.8","0.0","0.2","1.0","0.0","0.0","0.3"
"Jamize Olawale","DAL","0.1","0.4","0.0","0.2","1.6","0.0","0.0","0.3"
"","high","0.2","0.6","0.0","0.3","2.0","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.1","1.2","0.0","0.0","0.2"
"Brandon Bolden","MIA","0.2","0.9","0.0","0.2","1.2","0.0","0.0","0.2"
"","high","0.4","1.5","0.0","0.3","2.4","0.0","0.0","0.4"
"","low","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0"
"Derrick Coleman","ARI","0.2","0.6","0.0","0.2","1.4","0.0","0.0","0.2"
"","high","0.3","1.0","0.0","0.3","2.0","0.0","0.0","0.3"
"","low","0.0","0.1","0.0","0.0","0.5","0.0","0.0","0.1"
"Tre Madden","SEA","0.2","0.4","0.0","0.1","0.7","0.0","0.0","0.2"
"","high","0.3","0.8","0.0","0.1","1.3","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dwayne Washington","NO","0.6","1.7","0.0","0.0","0.1","0.0","0.0","0.2"
"","high","0.7","2.0","0.0","0.1","0.3","0.0","0.0","0.2"
"","low","0.3","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Ricky Ortiz","ATL","0.1","0.4","0.0","0.2","0.7","0.0","0.0","0.2"
"","high","0.1","0.4","0.0","0.2","0.7","0.0","0.0","0.2"
"","low","0.1","0.4","0.0","0.2","0.7","0.0","0.0","0.2"
"Mike Boone","MIN","0.3","1.2","0.0","0.0","0.1","0.0","0.0","0.2"
"","high","0.6","2.3","0.0","0.1","0.3","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kenjon Barner","CAR","0.3","1.2","0.0","0.0","0.1","0.0","0.0","0.2"
"","high","0.6","2.4","0.0","0.0","0.1","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
