"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","2.5","32.1","0.3","0.3","3.7","0.0","0.0","5.2"
"","low","1.2","20.0","0.1","0.0","0.0","0.0","0.0","2.8"
"Tajae Sharpe","TEN","2.2","28.7","0.2","0.1","0.8","0.0","0.0","4.0"
"","high","2.6","33.6","0.3","0.3","1.8","0.0","0.0","5.1"
"","low","1.9","25.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Trey Quinn","WAS","2.5","32.5","0.1","0.1","0.7","0.0","0.0","3.9"
"","high","2.8","35.0","0.2","0.2","2.3","0.0","0.0","4.7"
"","low","2.0","26.4","0.0","0.0","0.0","0.0","0.0","3.4"
"Rashard Higgins","CLE","2.2","31.1","0.1","0.0","0.0","0.0","0.0","3.9"
"","high","2.6","34.0","0.2","0.0","0.1","0.0","0.0","4.5"
"","low","2.0","29.3","0.0","0.0","0.0","0.0","0.1","3.0"
"Nelson Agholor","PHI","2.7","30.3","0.1","0.1","1.2","0.0","0.0","3.9"
"","high","3.6","36.5","0.2","0.3","2.5","0.0","0.0","5.1"
"","low","1.5","18.2","0.0","0.0","0.0","0.0","0.0","2.6"
"Jamison Crowder","WAS","2.5","30.1","0.1","0.4","2.4","0.0","0.1","3.9"
"","high","3.1","37.9","0.2","0.7","4.4","0.0","0.0","5.4"
"","low","1.8","20.0","0.0","0.0","0.0","0.0","0.1","2.0"
"Laquon Treadwell","MIN","2.7","29.5","0.1","0.0","0.0","0.0","0.0","3.6"
"","high","3.9","40.8","0.3","0.0","0.0","0.0","0.0","5.9"
"","low","1.7","19.2","0.0","0.0","0.0","0.0","0.0","2.3"
"Equanimeous St. Brown","GB","2.2","28.5","0.1","0.1","0.2","0.0","0.0","3.5"
"","high","3.0","32.3","0.2","0.2","0.7","0.0","0.0","4.5"
"","low","1.5","22.0","0.0","0.0","0.0","0.0","0.0","2.3"
"Keelan Cole","JAC","2.3","30.0","0.1","0.0","0.0","0.0","0.1","3.4"
"","high","3.2","44.0","0.2","0.0","0.0","0.0","0.0","5.4"
"","low","1.0","10.0","0.0","0.0","0.0","0.0","0.2","1.0"
"John Ross","CIN","1.8","23.5","0.2","0.1","0.6","0.0","0.0","3.4"
"","high","2.2","27.9","0.4","0.2","1.4","0.0","0.0","4.6"
"","low","1.6","20.0","0.0","0.0","-0.1","0.0","0.0","2.0"
"TJ Jones","DET","2.1","26.2","0.1","0.0","0.0","0.0","0.0","3.3"
"","high","3.0","34.8","0.2","0.0","0.0","0.0","0.0","4.7"
"","low","1.5","16.2","0.0","0.0","0.0","0.0","0.1","2.3"
"Taywan Taylor","TEN","2.0","25.5","0.1","0.0","0.2","0.0","0.1","3.3"
"","high","2.5","33.0","0.2","0.1","0.7","0.0","0.0","4.4"
"","low","1.6","18.1","0.1","0.0","0.0","0.0","0.1","2.3"
"Ryan Switzer","PIT","2.1","24.2","0.1","0.4","2.2","0.0","0.0","3.3"
"","high","2.6","32.1","0.2","0.6","3.9","0.0","0.0","4.6"
"","low","1.5","13.1","0.0","0.1","0.4","0.0","0.0","1.5"
"Richie James","SF","2.0","27.4","0.1","0.0","0.2","0.0","0.0","3.3"
